| Table Name   | Column Name    |   Core Feature |    Use case (if have) | Category    | Data Type     | Key/Constraint               | Constant   | Description                                           | Example                  |
|:-------------|:---------------|---------------:|----------------------:|:------------|:--------------|:-----------------------------|:-----------|:------------------------------------------------------|:-------------------------|
| fact_rm_task | task_key       |              3 |                   3.4 | Key         | BIGINT        | Primary Key                  | False      | Unique key for the task.                              | 9001                     |
| fact_rm_task | task_id        |              3 |                   3.4 | Business ID | VARCHAR(50)   | Not Null                     | False      | ID from the operational CRM/Task system.              | TASK-12345               |
| fact_rm_task | rm_key         |              3 |                   3.4 | Key         | INT           | Foreign Key to dim_rm        | False      | The RM assigned to the task.                          | 50012                    |
| fact_rm_task | customer_key   |              3 |                   3.4 | Key         | INT           | Nullable, FK to dim_customer | False      | The customer this task is about.                      | 1002345                  |
| fact_rm_task | created_date   |              3 |                   3.4 | Key         | DATE          | Not Null                     | False      | Date the task was created.                            | 1985-05-20 00:00:00      |
| fact_rm_task | due_date       |              3 |                   3.4 | Key         | DATE          | Not Null                     | False      | For Use Case 2.4: When the task is due.               | 1985-05-20 00:00:00      |
| fact_rm_task | completed_date |              3 |                   3.4 | Key         | DATE          | Nullable                     | False      | Date the task was completed. If not completed, "Null" | 1985-05-20 00:00:00      |
| fact_rm_task | task_type      |              3 |                   3.4 | Detail      | VARCHAR(100)  | Not Null                     | False      | Call, Email, Send Info Pack.                          | Call                     |
| fact_rm_task | task_status    |              3 |                   3.4 | Status      | VARCHAR(20)   | Not Null                     | False      | Open, Completed, Cancelled.                           | Open                     |
| fact_rm_task | task_details   |              3 |                   3.4 | Detail      | VARCHAR(1000) | Nullable                     | False      | Full text of the task.                                | Call him next Wednesday. |
